Plant	Type	Treatment	conc	uptake
Mn1	Mississippi	nonchilled	95	10.6
Mn1	Mississippi	nonchilled	175	19.2
Mn1	Mississippi	nonchilled	250	26.2
Mn1	Mississippi	nonchilled	350	30
Mn1	Mississippi	nonchilled	500	30.9
Mn1	Mississippi	nonchilled	675	32.4
Mn1	Mississippi	nonchilled	1000	35.5
Mn2	Mississippi	nonchilled	95	12
Mn2	Mississippi	nonchilled	175	22
Mn2	Mississippi	nonchilled	250	30.6
Mn2	Mississippi	nonchilled	350	31.8
Mn2	Mississippi	nonchilled	500	32.4
Mn2	Mississippi	nonchilled	675	31.1
Mn2	Mississippi	nonchilled	1000	31.5
Mn3	Mississippi	nonchilled	95	11.3
Mn3	Mississippi	nonchilled	175	19.4
Mn3	Mississippi	nonchilled	250	25.8
Mn3	Mississippi	nonchilled	350	27.9
Mn3	Mississippi	nonchilled	500	28.5
Mn3	Mississippi	nonchilled	675	28.1
Mn3	Mississippi	nonchilled	1000	27.8
Mc1	Mississippi	chilled	95	10.5
Mc1	Mississippi	chilled	175	14.9
Mc1	Mississippi	chilled	250	18.1
Mc1	Mississippi	chilled	350	18.9
Mc1	Mississippi	chilled	500	19.5
Mc1	Mississippi	chilled	675	22.2
Mc1	Mississippi	chilled	1000	21.9
Mc2	Mississippi	chilled	95	7.7
Mc2	Mississippi	chilled	175	11.4
Mc2	Mississippi	chilled	250	12.3
Mc2	Mississippi	chilled	350	13
Mc2	Mississippi	chilled	500	12.5
Mc2	Mississippi	chilled	675	13.7
Mc2	Mississippi	chilled	1000	14.4
Mc3	Mississippi	chilled	95	10.6
Mc3	Mississippi	chilled	175	18
Mc3	Mississippi	chilled	250	17.9
Mc3	Mississippi	chilled	350	17.9
Mc3	Mississippi	chilled	500	17.9
Mc3	Mississippi	chilled	675	18.9
Mc3	Mississippi	chilled	1000	19.9
