Individual.ID	Gender	Population
NA06984	1	CEU
NA06989	2	CEU
NA12329	2	CEU
NA12344	1	CEU
NA12347	1	CEU
NA12348	2	CEU
NA06986	1	CEU
NA06995	1	CEU
NA06997	2	CEU
NA07037	2	CEU
NA07045	2	CEU
NA07435	1	CEU
NA07014	2	CEU
NA07031	2	CEU
NA07051	1	CEU
NA12335	1	CEU
NA12336	2	CEU
NA12340	1	CEU
NA12341	2	CEU
NA12342	1	CEU
NA12343	2	CEU
NA07340	2	CEU
NA10846	1	CEU
NA10847	2	CEU
NA12144	1	CEU
NA12145	2	CEU
NA12146	1	CEU
NA12239	2	CEU
NA06994	1	CEU
NA07000	2	CEU
NA07019	2	CEU
NA07022	1	CEU
NA07029	1	CEU
NA07056	2	CEU
NA06985	2	CEU
NA06991	2	CEU
NA06993	1	CEU
NA07034	1	CEU
NA07048	1	CEU
NA07055	2	CEU
NA10850	2	CEU
NA10851	1	CEU
NA12056	1	CEU
NA12057	2	CEU
NA12058	2	CEU
NA07345	2	CEU
NA07346	2	CEU
NA07347	1	CEU
NA07348	2	CEU
NA07349	1	CEU
NA07357	1	CEU
NA10852	2	CEU
NA10857	1	CEU
NA12043	1	CEU
NA12044	2	CEU
NA12045	1	CEU
NA12046	2	CEU
NA10859	2	CEU
NA11881	1	CEU
NA11882	2	CEU
NA10853	1	CEU
NA10854	2	CEU
NA11839	1	CEU
NA11840	2	CEU
NA11843	1	CEU
NA10855	2	CEU
NA10856	1	CEU
NA11829	1	CEU
NA11830	2	CEU
NA11831	1	CEU
NA11832	2	CEU
NA12375	1	CEU
NA12376	2	CEU
NA12383	2	CEU
NA12489	2	CEU
NA12546	1	CEU
NA12386	2	CEU
NA12399	1	CEU
NA12400	2	CEU
NA12413	1	CEU
NA12414	2	CEU
NA12485	1	CEU
NA12707	1	CEU
NA12708	2	CEU
NA12716	1	CEU
NA12717	2	CEU
NA12718	2	CEU
NA10860	1	CEU
NA10861	2	CEU
NA11992	1	CEU
NA11993	2	CEU
NA11994	1	CEU
NA11995	2	CEU
NA10863	2	CEU
NA12234	2	CEU
NA12264	1	CEU
NA10864	2	CEU
NA10865	1	CEU
NA11891	1	CEU
NA11892	2	CEU
NA11893	1	CEU
NA11894	2	CEU
NA10830	1	CEU
NA10831	2	CEU
NA12154	1	CEU
NA12155	1	CEU
NA12156	2	CEU
NA12236	2	CEU
NA10835	1	CEU
NA12248	1	CEU
NA12249	2	CEU
NA10836	2	CEU
NA10837	1	CEU
NA12272	1	CEU
NA12273	2	CEU
NA12274	1	CEU
NA12275	2	CEU
NA10838	1	CEU
NA10839	2	CEU
NA12003	1	CEU
NA12004	2	CEU
NA12005	1	CEU
NA12006	2	CEU
NA10840	2	CEU
NA12286	1	CEU
NA12287	2	CEU
NA12282	1	CEU
NA12283	2	CEU
NA10842	1	CEU
NA10843	2	CEU
NA11917	1	CEU
NA11918	2	CEU
NA11919	1	CEU
NA11920	2	CEU
NA10845	1	CEU
NA11930	1	CEU
NA11931	2	CEU
NA11932	1	CEU
NA11933	2	CEU
NA12739	1	CEU
NA12740	2	CEU
NA12748	1	CEU
NA12749	2	CEU
NA12750	1	CEU
NA12751	2	CEU
NA12752	1	CEU
NA12753	2	CEU
NA12760	1	CEU
NA12761	2	CEU
NA12762	1	CEU
NA12763	2	CEU
NA12766	1	CEU
NA12767	2	CEU
NA12775	1	CEU
NA12776	2	CEU
NA12777	1	CEU
NA12778	2	CEU
NA12801	1	CEU
NA12802	2	CEU
NA12812	1	CEU
NA12813	2	CEU
NA12814	1	CEU
NA12815	2	CEU
NA12817	1	CEU
NA12818	2	CEU
NA12827	1	CEU
NA12828	2	CEU
NA12829	1	CEU
NA12830	2	CEU
NA12832	2	CEU
NA12842	1	CEU
NA12843	2	CEU
NA12864	1	CEU
NA12865	2	CEU
NA12872	1	CEU
NA12873	2	CEU
NA12874	1	CEU
NA12875	2	CEU
NA12877	1	CEU
NA12878	2	CEU
NA12889	1	CEU
NA12890	2	CEU
NA12891	1	CEU
NA12892	2	CEU
NA18484	2	YRI
NA18486	1	YRI
NA18488	2	YRI
NA18485	1	YRI
NA18487	1	YRI
NA18489	2	YRI
NA18497	1	YRI
NA18498	1	YRI
NA18499	2	YRI
NA18500	1	YRI
NA18501	1	YRI
NA18502	2	YRI
NA18503	1	YRI
NA18504	1	YRI
NA18505	2	YRI
NA19107	1	YRI
NA19108	2	YRI
NA19109	2	YRI
NA18867	2	YRI
NA18868	1	YRI
NA18869	1	YRI
NA18506	1	YRI
NA18507	1	YRI
NA18508	2	YRI
NA18509	1	YRI
NA18511	2	YRI
NA18510	1	YRI
NA18858	2	YRI
NA18859	1	YRI
NA18860	1	YRI
NA18515	1	YRI
NA18516	1	YRI
NA18517	2	YRI
NA18518	2	YRI
NA18519	1	YRI
NA18520	2	YRI
NA18521	1	YRI
NA18522	1	YRI
NA18523	2	YRI
NA18870	2	YRI
NA18871	1	YRI
NA18872	1	YRI
NA18852	2	YRI
NA18853	1	YRI
NA18854	1	YRI
NA18873	2	YRI
NA18874	1	YRI
NA18875	2	YRI
NA18876	2	YRI
NA18877	1	YRI
NA18906	2	YRI
NA18878	2	YRI
NA18879	1	YRI
NA18881	2	YRI
NA18855	2	YRI
NA18856	1	YRI
NA18857	1	YRI
NA18861	2	YRI
NA18862	1	YRI
NA18863	1	YRI
NA19105	2	YRI
NA18907	2	YRI
NA19252	1	YRI
NA18908	1	YRI
NA18864	2	YRI
NA18865	1	YRI
NA18909	2	YRI
NA18910	1	YRI
NA18911	1	YRI
NA18912	2	YRI
NA18913	1	YRI
NA18914	1	YRI
NA18915	1	YRI
NA18916	2	YRI
NA18917	1	YRI
NA18930	2	YRI
NA18923	1	YRI
NA18924	2	YRI
NA18925	1	YRI
NA19197	2	YRI
NA19198	1	YRI
NA19199	2	YRI
NA18933	2	YRI
NA18934	1	YRI
NA18935	1	YRI
NA19184	1	YRI
NA19185	2	YRI
NA19186	1	YRI
NA19092	1	YRI
NA19093	2	YRI
NA19094	2	YRI
NA19095	2	YRI
NA19096	1	YRI
NA19097	2	YRI
NA19101	1	YRI
NA19102	2	YRI
NA19103	1	YRI
NA19137	2	YRI
NA19138	1	YRI
NA19139	1	YRI
NA19175	1	YRI
NA19176	2	YRI
NA19177	1	YRI
NA19200	1	YRI
NA19201	2	YRI
NA19202	2	YRI
NA19171	1	YRI
NA19172	2	YRI
NA19173	1	YRI
NA19203	1	YRI
NA19204	2	YRI
NA19205	1	YRI
NA19166	2	YRI
NA19209	2	YRI
NA19210	1	YRI
NA19211	1	YRI
NA19206	2	YRI
NA19207	1	YRI
NA19208	1	YRI
